,Address,Body
0,56161940,"<#> Your WhatsApp account is being registered on a new device

Do not share this code with anyone

Your WhatsApp code: 409-839

4sgLq1p5sV6"
1,59020499,(ttfUIRigMrT4) Google is verifying the phone# of this device as part of setup. Learn more: https://goo.gl/LHCS9W
2,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
3,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
4,BZ-BSNL," will send handset configuration for the following services: WAP Browsing GPRS. Please accept any settings. If asked for a PIN, please use 1111"
5,BZ-BSNL,Your mobile is now configured for: WAP Browsing GPRS. For any issues please contact Customer support. /
6,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
7,AX-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Toppers Talk: Meet JEE Main 2021 Toppers (ALL INDIA RANK-1) by ALLEN Expert.

Join Live: bit.ly/JEEMain_live2021

ALLEN"
8,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
9,AX-ALLENS,"Congratulations!

We are glad to inform you that ALLEN has once again proved its legacy.
6 ALLEN Classroom Students achieved All India Rank-1 in JEE Main 2021

The same has been shared on Facebook bit.ly/JEEMain2021Result
Like, share, and comment to maximize its reach

ALLEN"
10,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
11,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
12,TRAIND,ध्यान रखें कि TRAI मोबाइल टॉवर लगाने के लिए NOC जारी नहीं करता है। यदि कोई धोखे से आपको इस तरह के पत्र के साथ संपर्क करता है तो यह विषय संबंधित मोबाइल सेवा प्रदाता को सूचित किया जा सकता है।
13,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
14,AX-FITJEE,"Attn. Student- A Golden Opportunity to get Enrolled in FIITJEE Program even before FIITJEE Talent Reward Exam  knocks thru FIITJEE Insta Select Test , scheduled from 15th to 30th September 2021. Tests are available in 4 pre-defined slots each day. For Test & Registration details, visit https://bit.ly/3AbFF0C FIITJEE LTD"
15,AX-FITJEE,"Attn. Student- A Golden Opportunity to get Enrolled in FIITJEE Program even before Big Bang Edge Test 2021 knocks thru FIITJEE Insta Select Test , scheduled from 15th to 30th September 2021. Tests are available in 4 pre-defined slots each day. For Test & Registration details, visit https://bit.ly/3ll1BjO FIITJEE LTD"
16,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
17,JX-DBTNUT,<#> 6545 is your OTP to login to the awesome world of Doubtnut.                                                                                Tp3vko4fb/t
18,BZ-DBTNUT,"Kaisa raha apka JEE MAIN 2021 ka result? DOUBTNUT - apne Top 3 bachon ko exam details share karne pe de raha hai upto Rs 10,000 ki scholarship and baki bachon ko Tshirts and other Rewards. Form bhar ke ap bhi paye awards jeetne ka mauka. Turant bhare - https://tinyurl.com/m2epkcmb"
19,AY-AIRINF,<#> 7687 is the OTP for your Airtel Thanks app login. Valid for 15 mins. Please do not share this with anyone N9BWuqauU1y
20,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
21,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
22,AX-NICECN,Kolhapur(Maharashtra) is added in exam cities and Candidates can change city preference by 20/09/2021. (sent via NICSI)
23,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
24,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
25,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
26,BK-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Learn this SMARTNESS to surely crack IIT-JEE Advanced' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Set Reminder: bit.ly/iitjee_tipsbmsir

ALLEN"
27,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
28,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
29,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
30,QP-HWZATT,"Congratulations you are shortlisted.
Winning Amount upto Rs.50,00,000/- in  T20 - DEL vs HYD. Make your team now s4h.in/s/slk0hXLoJx"
31,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
32,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
33,AX-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Learn this SMARTNESS to surely crack IIT-JEE Advanced' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Watch Now: https://bit.ly/iitjee_tipsbmsi

ALLEN"
34,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Learn this SMARTNESS to surely crack IIT-JEE Advanced' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Watch Now: bit.ly/iitjee_tipsbmsir

ALLEN"
35,AY-AIRTEL,खुशखबरी! अब आपका नेटवर्क अनुभव और भी बेहतर हो गया है नए एयरटेल 4G कवरेज बूस्ट के साथ! आप GAYTRI VIHAR में हर जगह बेहतर नेटवर्क कवरेज और डाटा स्पीड का आनंद लें सकते है| टीम एयरटेल
36,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
37,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
38,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
39,BK-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Learn this SMARTNESS to surely crack IIT-JEE Advanced (Part-2)' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Set Reminder: bit.ly/bmsirlive27sept

ALLEN"
40,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
41,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
42,AY-AIRTEL,खुशखबरी! अब आपका नेटवर्क अनुभव और भी बेहतर हो गया है नए एयरटेल 4G कवरेज बूस्ट के साथ! आप GAYTRI VIHAR में हर जगह बेहतर नेटवर्क कवरेज और डाटा स्पीड का आनंद लें सकते है| टीम एयरटेल
43,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
44,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
45,AZ-AIRTEL,Aapka Airtel Pack 30-Sep-21 tak manya hai. Aaj hi unlimited pack se recharge karein. Naye pack ki validity  ke baad hi shuri hogi: www.bit.ly/rchhome
46,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
47,AY-AIRAPP,You have successfully claimed 1GB data coupon. Data is valid till 3 days and will reflect in your account in 15min. Click here to check balance- u.airtel.in/dcc
48,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
49,BX-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Learn this SMARTNESS to surely crack IIT-JEE Advanced (Part-2)' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Watch Now: bit.ly/bmsirlive27sept

ALLEN"
50,AZ-AIRTEL,Aapke Airtel Pack ki validity 30-Sep-21 tak hai.Recharge na hone par sewayein band ho sakti hain.Recharge karein: bit.ly/31U2rs8. Kar lia hai toh ignore karein
51,AD-Airtel,Airtel Unlimited Pack validity for 8109108797 is till 30-09-2021. Recharge TODAY without losing your current validity u.airtel.in/FDP2 Ignore if already done
52,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
53,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JEE Advanced 2021 - Jeet ki Taiyari Hosh ke Sath (Ep-01)' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Set Reminder: bit.ly/bmsirhoshlive

ALLEN"
54,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
55,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
56,AZ-AIRTEL,Aapke Airtel Pack ki validity kal samapt hogi. Recharge na hone par outgoing sewa band ho jaegi. Recharge karein: bit.ly/31U2rs8 . Kar lia hai toh ignore karein
